store_id,turn_number,episode_id,stored_similarity,stored_rank,recomputed_pair_similarity,recomputed_pair_rank,recomputed_user_similarity,assistant_characters,pair_text_sha256
study_009_arm_s,1,787585b4-0f37-41eb-a244-a740d6988485,0.4972553849220276,1,0.4971601068973541,1,0.5916699767112732,343,0640601c365927beb22a3810b625feb1c8e1735314b14f1ccee623931671dba9
study_009_arm_s,2,491b03b4-57ff-4f27-8f50-e260646183e5,0.4930041432380676,3,0.49425989389419556,2,0.6116960048675537,92,d66bd4e7da72bec7c5b0bd8a6db47fc94caa8b19ec566b2cbfc7b33dff8b4e0a
study_009_arm_s,3,34f8b502-654b-491a-9747-1900e50cb4b3,0.3766670227050781,5,0.37963157892227173,5,0.44556373357772827,257,323eed4ba602647c7b4eff2b4eac0a7de30708c640b3047e9a98bbb7b952de10
study_009_arm_s,4,dc90bf70-efbb-4f11-a25e-448a09a28437,0.13513442873954773,70,0.13513442873954773,70,0.32010316848754883,1049,7eac1884f47c2cf33bd2c7d81cdd78ffee6f6f9a8bb690a0ca4099e7ec0feeed
study_009_arm_s,5,03fd123a-ab32-471f-ad49-bd4f39b49c13,0.07917123287916183,104,0.07917123287916183,104,0.3076610267162323,1388,70fa3e7d167ba459f3c7f4bd92f24db6e808afb21e48ca01b2150b7cb1b295eb
study_009_arm_s,6,7fccc35b-7d7e-475a-afa3-189a179d221c,0.06903447210788727,108,0.06903447210788727,108,0.3269222378730774,2652,c238539cc6f48b5b2acde003210384f85a5373bab742a8e8629f4f06df93bf23
study_009_arm_s,7,a2cd1f58-2ab6-436a-9e5d-d7cd9965f43b,0.2031644880771637,34,0.2031644880771637,34,0.33705785870552063,2959,a9f91be147a1f79f94f16fdd4d4f39c171d5b65f831d5bb28fa5b7db338ed3d4
study_009_arm_s,8,447054c4-f3da-4836-92b2-0f37e3168a04,0.2764342129230499,11,0.2764342129230499,10,0.2826458215713501,3236,c88c1d25eb82778d13a201428a8796e7c99f12756f8044df0589a1e175905b12
study_009_arm_s,9,35d6bc41-bd95-44e3-abf7-64a7b030b1d6,0.08701194822788239,97,0.08701194822788239,97,0.37066131830215454,2307,a0be752559905a03a9bbec54b4b34a0f8fc3ed89ad723f89a4fdf70c3a763692
study_009_arm_s,10,45928c34-a025-48c3-a85f-d5563cbd5e13,0.13047665357589722,73,0.13047665357589722,74,0.3329777121543884,2649,e6a8eb54d566547708096ef2606a574824507291da403b1c9d3da865c4644d2d
study_009_arm_s,11,667193da-af67-4f58-b766-01e727562e6d,0.09351829439401627,95,0.09351829439401627,95,0.41379672288894653,2353,4f200142e1d7641c24fd17720f3221a1145abeb66ce1ccabbc7d27299c6d18c0
study_009_arm_s,12,b968e5c3-11ae-4907-b3a1-66ddbb007dd5,0.1595233976840973,57,0.1595233976840973,57,0.37812355160713196,2819,3e4b01f1b2786c1c532a45bab9a84dca6e1272412981fb7f70f6031ad7ac77cb
study_009_arm_s,13,2c042304-224e-49fb-8a3d-7052a621db53,0.2440442591905594,19,0.2440442591905594,19,0.3144766092300415,3664,f838463546c663e08285a01fe3ac8977e318a8a5870dad8639892cbc87cae14e
study_009_arm_s,14,899754c9-a814-43ee-8af9-0bcdc609b72c,0.2476295828819275,17,0.2476295828819275,17,0.33154964447021484,2666,470ace3f9adcc92b5fb584801879b87cbe4680fdecabc9affab42f281b56093a
study_009_arm_s,15,d24afc70-1465-4437-b3fb-88348b4052fd,0.26486116647720337,12,0.26486116647720337,12,0.2689053416252136,2489,bf24d35f2dccb83527af69a482531f26390788bb1a4b8c1b5ce35d7dc8f17ba3
study_009_arm_s,16,6a2c1970-83a1-45e3-b9cf-0c6bbb3c54b8,0.22507135570049286,26,0.22507135570049286,26,0.26608431339263916,3331,f5a44ae6d897c751225ae6f4ab366a83b8a9a46e1257b79d72c17e959c5f595b
study_009_arm_s,17,0612ca8f-753e-4a9d-ae5a-5b12063dd38d,0.14481087028980255,61,0.14481087028980255,61,0.3026130497455597,3849,ed1a053b0acbad668d32869e6eaacf675cd0109cb9859d654b62ba10f2b39e1a
study_009_arm_s,18,42b8e07d-c7b9-4b35-b5fa-d4ed07aaf072,0.1691858172416687,50,0.1691858172416687,50,0.37863391637802124,4328,f2d7c035177af0441fe648bd8f80a374c5ecaecf706bb678e85ba33710e8e92c
study_009_arm_s,19,dee3db1c-6789-4adb-87a2-dcaa0fc8890a,0.11880867183208466,84,0.11880867183208466,84,0.4291496276855469,2672,902c24c14721d8e930d2ac515e61fc8085a1d73be80ed7ff33d2507036afa3c7
study_009_arm_s,20,6328ac0a-615a-4a65-917b-37911244ac74,0.314156711101532,7,0.314156711101532,7,0.3943535089492798,2696,f0ba770a1883fd41e4074db0a41e7fea2d328ebb1cc7d67de662fbdfcb45bc48
study_009_arm_s,21,c4983cd7-4301-4fbb-bfc6-135227a14876,0.16639500856399536,55,0.16639500856399536,55,0.34581875801086426,3509,6effaefcf5ebfd6c75c16994e382ebb642454c85081baec8effaedf9a26e2673
study_009_arm_s,22,5ccb72d2-4f21-4c41-85c4-476c9a9f447e,0.09513568878173828,94,0.09513568878173828,94,0.44874098896980286,4028,1a75e5dd6c1ab518794d79d0cbd90ec6bf83ebe1121411d465037a1f3309cf2e
study_009_arm_s,23,4f9b6252-faf5-46d4-ace6-48144ed8d704,0.07955139875411987,103,0.07955139875411987,103,0.28556621074676514,2928,1baa8fec349f19313052c95196ce8997995c4b1cde06bc2640e8e3a334354b75
study_009_arm_s,24,fb5fd918-7ed9-41ef-82e4-827234a4bf08,0.1900734007358551,39,0.1900734007358551,39,0.4060966968536377,9759,116f6f35774961140c99ba7ed7abc984764bc73ed700df57d04b1524c5eb6d59
study_009_arm_s,25,446b234a-a050-47dc-87a0-957d644ddf2c,0.12102547287940979,80,0.12102547287940979,80,0.4011593759059906,3210,392262a9557ec22893970d68730b50e5637d454b09fe49125a67d9c3bb4eab6f
study_009_arm_s,26,1410d514-01ff-49e4-939b-c1511e5c277a,0.1279602199792862,76,0.1279602199792862,76,0.29823023080825806,3483,d29aa207b43216c69c6aff61061bee3aaeb4e80470842f74ec9d0507cce257a9
