turn,episode_id,episode_turn,topic,similarity,provenance,promoted_at_turn,trigger_type,triggered_filter,distilled_id,dream_event,event_type,source_episode_ids,source_turns,salience,render_mode,role,span_start,span_end,rendered_density
84,4cb44002-f213-4252-bb2a-041e3f96548d,10,topic_2,0.5179702043533325,ltm,,,,afba8d40-4c1a-5381-bcb7-79175c8669b9,83,transition,"[""4cb44002-f213-4252-bb2a-041e3f96548d""]",[10],2,episode,assistant,183,242,
84,b3c6f22f-3c9d-4b66-8c21-6267e0760236,75,topic_2,0.4089328944683075,ltm,,,,578973d2-b2d6-56dc-9c39-a93bc454c18b,83,transition,"[""b3c6f22f-3c9d-4b66-8c21-6267e0760236""]",[75],2,episode,user,6,130,
84,ebdd3107-0c43-42b1-97b3-9b6e031bc86b,40,topic_2,0.374026894569397,ltm,,,,3d75d240-5532-5c69-a050-f8cbca264457,83,transition,"[""ebdd3107-0c43-42b1-97b3-9b6e031bc86b""]",[40],1,episode,user,150,179,
85,4cb44002-f213-4252-bb2a-041e3f96548d,10,topic_2,0.45086824893951416,ltm,,,,afba8d40-4c1a-5381-bcb7-79175c8669b9,83,transition,"[""4cb44002-f213-4252-bb2a-041e3f96548d""]",[10],2,episode,assistant,183,242,
85,ebdd3107-0c43-42b1-97b3-9b6e031bc86b,40,topic_2,0.4379865527153015,ltm,,,,3d75d240-5532-5c69-a050-f8cbca264457,83,transition,"[""ebdd3107-0c43-42b1-97b3-9b6e031bc86b""]",[40],1,episode,user,150,179,
85,b3c6f22f-3c9d-4b66-8c21-6267e0760236,75,topic_2,0.3970359265804291,ltm,,,,578973d2-b2d6-56dc-9c39-a93bc454c18b,83,transition,"[""b3c6f22f-3c9d-4b66-8c21-6267e0760236""]",[75],2,episode,user,6,130,
86,b3c6f22f-3c9d-4b66-8c21-6267e0760236,75,topic_2,0.46717607975006104,ltm,,,,578973d2-b2d6-56dc-9c39-a93bc454c18b,83,transition,"[""b3c6f22f-3c9d-4b66-8c21-6267e0760236""]",[75],2,episode,user,6,130,
86,4cb44002-f213-4252-bb2a-041e3f96548d,10,topic_2,0.46665868163108826,ltm,,,,afba8d40-4c1a-5381-bcb7-79175c8669b9,83,transition,"[""4cb44002-f213-4252-bb2a-041e3f96548d""]",[10],2,episode,assistant,183,242,
86,ebdd3107-0c43-42b1-97b3-9b6e031bc86b,40,topic_2,0.4432460367679596,ltm,,,,3d75d240-5532-5c69-a050-f8cbca264457,83,transition,"[""ebdd3107-0c43-42b1-97b3-9b6e031bc86b""]",[40],1,episode,user,150,179,
87,4cb44002-f213-4252-bb2a-041e3f96548d,10,topic_2,0.5033548474311829,ltm,,,,afba8d40-4c1a-5381-bcb7-79175c8669b9,83,transition,"[""4cb44002-f213-4252-bb2a-041e3f96548d""]",[10],2,episode,assistant,183,242,
87,b3c6f22f-3c9d-4b66-8c21-6267e0760236,75,topic_2,0.4639188051223755,ltm,,,,578973d2-b2d6-56dc-9c39-a93bc454c18b,83,transition,"[""b3c6f22f-3c9d-4b66-8c21-6267e0760236""]",[75],2,episode,user,6,130,
87,ebdd3107-0c43-42b1-97b3-9b6e031bc86b,40,topic_2,0.45531925559043884,ltm,,,,3d75d240-5532-5c69-a050-f8cbca264457,83,transition,"[""ebdd3107-0c43-42b1-97b3-9b6e031bc86b""]",[40],1,episode,user,150,179,
88,4cb44002-f213-4252-bb2a-041e3f96548d,10,topic_2,0.4332506060600281,ltm,,,,afba8d40-4c1a-5381-bcb7-79175c8669b9,83,transition,"[""4cb44002-f213-4252-bb2a-041e3f96548d""]",[10],2,episode,assistant,183,242,
88,ebdd3107-0c43-42b1-97b3-9b6e031bc86b,40,topic_2,0.41587501764297485,ltm,,,,3d75d240-5532-5c69-a050-f8cbca264457,83,transition,"[""ebdd3107-0c43-42b1-97b3-9b6e031bc86b""]",[40],1,episode,user,150,179,
88,b3c6f22f-3c9d-4b66-8c21-6267e0760236,75,topic_2,0.39809074997901917,ltm,,,,578973d2-b2d6-56dc-9c39-a93bc454c18b,83,transition,"[""b3c6f22f-3c9d-4b66-8c21-6267e0760236""]",[75],2,episode,user,6,130,
89,ebdd3107-0c43-42b1-97b3-9b6e031bc86b,40,topic_2,0.39054885506629944,ltm,,,,3d75d240-5532-5c69-a050-f8cbca264457,83,transition,"[""ebdd3107-0c43-42b1-97b3-9b6e031bc86b""]",[40],1,episode,user,150,179,
89,4cb44002-f213-4252-bb2a-041e3f96548d,10,topic_2,0.3569071292877197,ltm,,,,afba8d40-4c1a-5381-bcb7-79175c8669b9,83,transition,"[""4cb44002-f213-4252-bb2a-041e3f96548d""]",[10],2,episode,assistant,183,242,
89,b3c6f22f-3c9d-4b66-8c21-6267e0760236,75,topic_2,0.3514004051685333,ltm,,,,578973d2-b2d6-56dc-9c39-a93bc454c18b,83,transition,"[""b3c6f22f-3c9d-4b66-8c21-6267e0760236""]",[75],2,episode,user,6,130,
90,4cb44002-f213-4252-bb2a-041e3f96548d,10,topic_2,0.4658516049385071,ltm,,,,afba8d40-4c1a-5381-bcb7-79175c8669b9,83,transition,"[""4cb44002-f213-4252-bb2a-041e3f96548d""]",[10],2,episode,assistant,183,242,
90,b3c6f22f-3c9d-4b66-8c21-6267e0760236,75,topic_2,0.4322821795940399,ltm,,,,578973d2-b2d6-56dc-9c39-a93bc454c18b,83,transition,"[""b3c6f22f-3c9d-4b66-8c21-6267e0760236""]",[75],2,episode,user,6,130,
90,ebdd3107-0c43-42b1-97b3-9b6e031bc86b,40,topic_2,0.400680273771286,ltm,,,,3d75d240-5532-5c69-a050-f8cbca264457,83,transition,"[""ebdd3107-0c43-42b1-97b3-9b6e031bc86b""]",[40],1,episode,user,150,179,
91,4cb44002-f213-4252-bb2a-041e3f96548d,10,topic_2,0.43652504682540894,ltm,,,,afba8d40-4c1a-5381-bcb7-79175c8669b9,83,transition,"[""4cb44002-f213-4252-bb2a-041e3f96548d""]",[10],2,episode,assistant,183,242,
91,b3c6f22f-3c9d-4b66-8c21-6267e0760236,75,topic_2,0.43283429741859436,ltm,,,,578973d2-b2d6-56dc-9c39-a93bc454c18b,83,transition,"[""b3c6f22f-3c9d-4b66-8c21-6267e0760236""]",[75],2,episode,user,6,130,
91,ebdd3107-0c43-42b1-97b3-9b6e031bc86b,40,topic_2,0.4308922290802002,ltm,,,,3d75d240-5532-5c69-a050-f8cbca264457,83,transition,"[""ebdd3107-0c43-42b1-97b3-9b6e031bc86b""]",[40],1,episode,user,150,179,
92,4cb44002-f213-4252-bb2a-041e3f96548d,10,topic_2,0.5179702043533325,ltm,,,,afba8d40-4c1a-5381-bcb7-79175c8669b9,83,transition,"[""4cb44002-f213-4252-bb2a-041e3f96548d""]",[10],2,episode,assistant,183,242,
92,b3c6f22f-3c9d-4b66-8c21-6267e0760236,75,topic_2,0.4089328944683075,ltm,,,,578973d2-b2d6-56dc-9c39-a93bc454c18b,83,transition,"[""b3c6f22f-3c9d-4b66-8c21-6267e0760236""]",[75],2,episode,user,6,130,
