turn,episode_id,topic,trigger_type,triggered_filter
31,517353ea-e1d8-4979-9dfa-1da589ed8d66,topic_2,weighted_threshold,
31,dd62d298-c08f-4b2e-9972-d8ce02c89905,topic_2,weighted_threshold,
31,fc3980d5-ea50-488f-aad1-df173c0ab57e,topic_2,weighted_threshold,
31,dfde0dad-c6b3-4d7c-8beb-2876ab07bd2c,topic_2,weighted_threshold,
31,275c039d-3e29-420a-a26e-a5c589ee2cc5,topic_2,weighted_threshold,
31,ff76fcb6-01c8-4c66-8969-7650f758f5a6,topic_2,weighted_threshold,
31,fa6d4036-0b06-45cd-8e52-575fc33a556d,topic_2,weighted_threshold,
31,a1db6ac8-f72a-4aa8-926b-439b7198da17,topic_2,weighted_threshold,
31,d66fd3d1-9fce-4e23-ade2-0da92bbdbde1,topic_2,weighted_threshold,
31,ba92086c-db9a-49fd-936e-e659226d4689,topic_2,weighted_threshold,
61,38604ae5-d548-4bdf-a6b4-53cee8c28f71,topic_3,all_or_nothing,novelty
61,11516d78-a5b9-4c0e-9ba2-cfeac5e6c9f0,topic_3,all_or_nothing,novelty
61,d77a8569-5c33-4856-a4a6-8feb69b36bb7,topic_3,all_or_nothing,repetition
111,14346595-72fb-42b4-a099-364d131cd32b,topic_5,all_or_nothing,repetition
