episode_id,source_turn,element_chars,additive_chars,fact_count,domains,items
e4286c8d-3430-43d1-9a53-15c87df89493,1,896,897,0,,
4d41447d-9776-4ff5-baf3-c38c6974b982,2,363,364,0,,
35725a87-15ce-4373-8456-214188818afb,3,592,593,3,civil,Halcyon Crossing|847|Dr. Anara Bekova
98015b9a-0576-4fc6-8584-df00a7a888af,4,1438,1439,4,civil,Halcyon Crossing|847|S460ML|92.4
2423ce0b-c305-4d63-820c-d31b616dd8c8,5,1664,1665,5,civil,Halcyon Crossing|847|Dr. Anara Bekova|S460ML|92.4
6a01601c-5f66-4663-bf8b-671b9e055ae5,6,2943,2944,2,civil,Halcyon Crossing|847
dc96fb4f-c389-4a81-ba3f-e109e814eea5,7,3231,3232,3,civil,847|S460ML|92.4
803dc8e7-e49c-4953-9aa9-c87b7c0bd8dd,8,3519,3520,4,civil,Halcyon Crossing|Dr. Anara Bekova|S460ML|92.4
27eddd46-3066-4b14-b861-085a67dcd0ac,9,2575,2576,2,civil,Halcyon Crossing|S460ML
b4e05297-81cd-4cce-924e-eb1895e881b1,10,2939,2940,2,civil,S460ML|92.4
385e79b1-58a0-4275-9ec5-e253f4aa6eaa,11,2638,2639,1,civil,847
9b4d93e7-e56a-4c38-90d2-d3dcf218be16,12,2355,2356,3,civil,Halcyon Crossing|Dr. Anara Bekova|S460ML
8793f165-25db-4fb5-a0b3-6837ba2ed952,13,4309,4310,3,civil,847|S460ML|92.4
de647c60-87ff-4102-9996-697b5d38ac99,14,2853,2854,3,civil,Halcyon Crossing|847|92.4
21cd52d3-077d-43de-8714-487f211f8e1e,15,5264,5265,1,civil,847
b22fa928-2e44-4da3-970f-1eef06b9af0f,16,3412,3413,2,civil,Halcyon Crossing|847
f5cad6e5-07d0-4cc7-87a5-b8d6dc8359ad,17,3411,3412,5,civil,Halcyon Crossing|847|Dr. Anara Bekova|S460ML|92.4
65a29452-ed4f-488f-913e-d76a128dc12d,18,3852,3853,3,civil,Halcyon Crossing|847|S460ML
b2dac773-3bfb-49f9-a07b-a4e51132c073,19,3900,3901,2,civil,Halcyon Crossing|847
2b5fee6a-cf47-4d91-9364-db40fb9a6ef6,20,3102,3103,4,civil,Halcyon Crossing|847|S460ML|92.4
e86465f5-5719-402c-99f2-cf56214cf969,21,4501,4502,4,civil,847|Dr. Anara Bekova|S460ML|92.4
db04e44b-c2ff-4654-b4d5-03c9a5a41ac3,22,3246,3247,3,civil,Halcyon Crossing|847|92.4
66fd23b1-3e58-478b-af19-e9170c0ab86b,23,4073,4074,4,civil,Halcyon Crossing|847|S460ML|92.4
fcb5c2e1-67ab-4b57-888c-1e2ae499b439,24,3908,3909,4,civil,Halcyon Crossing|847|Dr. Anara Bekova|S460ML
55c2db90-d130-43ee-9576-fc29ea1648cf,25,3491,3492,3,civil,Halcyon Crossing|847|S460ML
0b9dfd05-682b-41de-83ef-f755d687cc81,26,3734,3735,1,civil,Halcyon Crossing
598a93b5-f9ba-49b9-abf1-9df4704204fd,27,2999,3000,2,civil,Halcyon Crossing|Dr. Anara Bekova
c9bfd1d1-914b-4200-9f91-603edafd4bd8,28,3694,3695,2,civil,Halcyon Crossing|847
456f82bd-a793-428f-96b8-2d2ed8df336c,29,3996,3997,3,civil,Halcyon Crossing|S460ML|92.4
a05e4997-d883-44ec-9cc0-294af28bb17d,30,4026,4027,5,civil,Halcyon Crossing|847|Dr. Anara Bekova|S460ML|92.4
5ded4e7a-d80c-4cd5-a6c8-0fff1ae223f9,31,4361,4362,0,,
045482c4-8183-4b7e-92ae-e6a7fb92d355,32,4541,4542,0,,
f6ec50a8-0243-47e6-9d6b-d5fa2afe4fdf,33,2900,2901,0,,
437b58a3-40b5-4c60-af49-0a92e164d53f,34,3388,3389,0,,
917fbcd0-d3a5-4fae-9a0d-f26f8528ee49,35,2660,2661,0,,
e7f71945-a158-4c8c-9fe8-ec70a1657d39,36,3498,3499,0,,
6a786542-39d2-4027-87be-5538759a9ada,37,3438,3439,0,,
111e3e3f-6c5a-438f-8084-083ed2af62df,38,4445,4446,0,,
84230a8a-c438-46b1-8b4c-9fb1270e8507,39,3674,3675,1,art,Melozzo da Forli
908479ee-34b0-40e1-8599-e934ac47df7e,40,3818,3819,0,,
7d7e6a4f-a8a5-4b02-96fb-b71ab1164f76,41,4131,4132,0,,
0cd1ea33-3191-48e9-ad90-fde1d44b21b5,42,4207,4208,0,,
62e64b84-bf8a-40ca-86b6-40981fa44b83,43,4216,4217,0,,
20d366fb-126c-40bf-bda9-70efa2f4feee,44,3437,3438,1,art,Melozzo da Forli
cdf91933-b446-4536-a8e2-abc867cd0704,45,3526,3527,0,,
e69975a2-ebc5-47f3-8f71-2edc23ebc446,46,4425,4426,0,,
38c3a5a3-747b-41dd-a653-f1c2b02dac56,47,3945,3946,0,,
f8e99b3f-9d39-4cf2-a4a5-bf19ddfbd170,48,4651,4652,0,,
1a6a9faf-acb7-4ee5-b949-f29f0e6c9116,49,4889,4890,0,,
bc129435-b7c7-4795-83bf-9e7ff02a915e,50,3739,3740,0,,
f2223f95-4c32-455d-917d-06e13a9cc93f,51,4822,4823,0,,
bf01658f-8774-4025-bdc2-be46a5ac3a9c,52,3874,3875,0,,
b40a6a99-54fd-4e44-a632-120d8bb57c6e,53,4321,4322,0,,
c134f401-afa1-43d1-9e80-6d5212904c99,54,4424,4425,0,,
7abe80be-01aa-4b89-8720-cfdce04bfd1d,55,3130,3131,4,art,The Annunciation of Forli|Melozzo da Forli|Cardinal Giuliano della Rovere|1483
c2a71b45-9105-44d2-9800-e2b2ea7609e6,56,3115,3116,3,art,The Annunciation of Forli|Melozzo da Forli|Cardinal Giuliano della Rovere
b17427a8-3ae0-46e2-94c0-9bca1bf2dd27,57,3392,3393,3,art,The Annunciation of Forli|Melozzo da Forli|Cardinal Giuliano della Rovere
