turn,k_count,episode_id,similarity_score,topic_label,k_only
37,1,b1d09da0-61de-47f5-b4fd-e0978bc3a72e,0.5153825879096985,topic_3,True
43,1,b1d09da0-61de-47f5-b4fd-e0978bc3a72e,0.5419076681137085,topic_3,True
45,2,2eaf56c2-b9e4-4fc6-93a5-88d788412783,0.5117465257644653,topic_3,True
45,2,b1d09da0-61de-47f5-b4fd-e0978bc3a72e,0.5028947591781616,topic_3,True
46,1,b1d09da0-61de-47f5-b4fd-e0978bc3a72e,0.5112568736076355,topic_3,True
56,2,2eaf56c2-b9e4-4fc6-93a5-88d788412783,0.5091935396194458,topic_3,True
56,2,b1d09da0-61de-47f5-b4fd-e0978bc3a72e,0.5031796097755432,topic_3,True
58,1,2eaf56c2-b9e4-4fc6-93a5-88d788412783,0.5392484664916992,topic_3,True
79,1,bf147734-c346-4b47-8d9e-89879fa5d5dd,0.5080666542053223,topic_4,True
80,1,bf147734-c346-4b47-8d9e-89879fa5d5dd,0.506010115146637,topic_4,True
85,1,bf147734-c346-4b47-8d9e-89879fa5d5dd,0.5593646168708801,topic_4,True
86,1,bf147734-c346-4b47-8d9e-89879fa5d5dd,0.5299212336540222,topic_4,True
87,1,bf147734-c346-4b47-8d9e-89879fa5d5dd,0.5295829176902771,topic_4,True
89,1,bf147734-c346-4b47-8d9e-89879fa5d5dd,0.5023983716964722,topic_4,True
101,1,0d3d92fa-44d0-419a-a6e8-d745801dc1db,0.5963893532752991,topic_5,True
103,1,e009daae-7688-4fad-97c4-e0af5362d4e5,0.5377073287963867,topic_5,True
106,1,27522b47-c992-4b42-ae71-9f5fd7df411a,0.5257989168167114,topic_5,True
110,1,e009daae-7688-4fad-97c4-e0af5362d4e5,0.5531714558601379,topic_5,True
116,4,2eaf56c2-b9e4-4fc6-93a5-88d788412783,0.5320563912391663,topic_3,True
116,4,6043a55d-d458-4992-b571-76fdb0f4f4c5,0.5161096453666687,topic_3,True
117,2,ffdbf48c-2d38-4f4e-b19e-861cb9abf94e,0.6224825978279114,topic_3,True
117,2,2eaf56c2-b9e4-4fc6-93a5-88d788412783,0.501203715801239,topic_3,True
120,1,00245908-5452-4f8c-a318-9016b8f70a78,0.5001251697540283,topic_6,True
