blind_key,sample_id,source_index,question_text_sha256,control_payload_sha256,dynamic_payload_sha256,incoming_count,outgoing_count,retained_count,incoming_missing,outgoing_missing,retained_missing,query_margin_best,query_margin_worst,incoming_novelty_max,incoming_novelty_mean,outgoing_redundancy_max,outgoing_redundancy_mean,neg_incoming_dense_rank_best,neg_incoming_dense_rank_mean,outgoing_dense_rank_worst,outgoing_dense_rank_mean,represented_session_delta,selected_candidate_delta,payload_char_delta,neg_incoming_penalty_max,neg_incoming_penalty_mean
1bec76bbc756795cdb94eae3204327b57ee13ef9e75923199711400c7050852f,conv-41,0,1bec76bbc756795cdb94eae3204327b57ee13ef9e75923199711400c7050852f,87e4f9a15ea13d5b5790b034f372c4f76b186d4912cc78933c81bf9ad2f3d385,06c96b652d6e28258a106925462f22141a35fc377ad16f09ca6e1cd9b6d0f033,10,11,86,0,0,0,-0.01589822769165039,-0.04252535104751587,0.37418633699417114,0.25500828623771665,0.878171443939209,0.7792148156599565,-99.0,-113.7,94.0,79.72727272727273,0,-1,-6,-0.06,-0.048
9b2d659a6e08145a6edb1fbf7666a6bbebc00ed81b1cfa0784a8204d824d68f2,conv-41,1,9b2d659a6e08145a6edb1fbf7666a6bbebc00ed81b1cfa0784a8204d824d68f2,c6c660f919ac84b93c6f6d5cd0b9d09c5dff0cf53505f3f19c51d853faef9b9f,c9b028c92b46742b42f170507d82ba47b4db1d91084b45ed91980912ad02285f,11,10,85,0,0,0,-0.03202614188194275,-0.018237680196762085,0.3663176894187927,0.2665239355780862,0.8290712833404541,0.7800341069698333,-97.0,-109.18181818181819,94.0,81.1,0,1,-80,-0.06,-0.046363636363636364
2e551fb82669ea0288b6b635b352f0cc4f323d5530a896c62cd7ce217a71f046,conv-41,2,2e551fb82669ea0288b6b635b352f0cc4f323d5530a896c62cd7ce217a71f046,8c623eb015f39d17af490c6d98d6cf947bdab4096b5b78220bee05d901f71402,ee0e0a6462130df883fd6d4965de321db9231dacd54f3b7d53ea321f30ab7286,13,13,89,0,0,0,-0.028255850076675415,-0.03982153534889221,0.3386632204055786,0.19016895385888907,0.9265490174293518,0.7764001626234788,-102.0,-124.6923076923077,101.0,86.23076923076923,2,0,-22,-0.09,-0.043846153846153854
591714f9832551c8d681b03e4bd958b63d3f9a2b363906b8cea4da1b2e526713,conv-41,3,591714f9832551c8d681b03e4bd958b63d3f9a2b363906b8cea4da1b2e526713,f5186a86265a5f0ef55bb33f0f77917eb95ecc8c69c3d4d91f7bd366ed573f1a,95c5e8265c8ec3b38c05a900901c99dc26d641670ccbbba99a2d751dd6229c9d,12,16,79,0,0,0,-0.024983525276184082,-0.055003345012664795,0.3435993194580078,0.25159763793150586,0.9145027995109558,0.8376429043710232,-95.0,-135.41666666666666,92.0,77.1875,3,-4,-10,-0.06,-0.027500000000000007
f5a9e8210f77cf140cdc93bb05b4722b7ba0e847914c04417dd70c69b568c50e,conv-41,4,f5a9e8210f77cf140cdc93bb05b4722b7ba0e847914c04417dd70c69b568c50e,ed486b56ca758a9a2cebef15c2a51a77da43f495942bdc48822c1c65d0ceb234,fed347e8dd02eea2381dfe12bd29d0fa20c5ccfd22de7e0081991ccfe45cd836,12,14,79,0,0,0,-0.02040928602218628,-0.036534667015075684,0.33194994926452637,0.222744549314181,0.878171443939209,0.7942115196159908,-94.0,-130.5,93.0,67.07142857142857,3,-2,58,-0.09,-0.032499999999999994
0ac56239038574375d842a49b9289c0b872ca2c91d0be00fb67f76e1eefd254e,conv-41,5,0ac56239038574375d842a49b9289c0b872ca2c91d0be00fb67f76e1eefd254e,0a5ad52be4dc3fb9f0ad625fa0a2ad3099549330b591741dabbe6dd1f461ad16,3c358fae1eba3d2afc55b3cc4240af499ad83d00bf36c80daf0ff3daa13bb44a,9,10,88,0,0,0,-0.015751779079437256,-0.03853011131286621,0.26693135499954224,0.1939546995692783,0.8012000918388367,0.7533951938152313,-100.0,-115.88888888888889,93.0,84.3,1,-1,24,-0.06,-0.04
e597145eccee90668e2ecba65b992752a81837dda2edb6e1490eb503f43a7428,conv-41,6,e597145eccee90668e2ecba65b992752a81837dda2edb6e1490eb503f43a7428,0787176abca3c4f764e60a7627afd0cf896a3023b8f67347c67e1dd5226c81e2,b0fc45087523280926f13d0ad033f8e3d5aa903e6d3982770cdc4d6938f3bee3,15,15,84,0,0,0,-0.028077900409698486,-0.03645294904708862,0.3435993194580078,0.23529918988545737,0.9265490174293518,0.8090172290802002,-101.0,-125.66666666666667,100.0,83.06666666666666,3,0,74,-0.06,-0.038000000000000006
88257adc7c0d56af47f238c3e11d2503bc511eee0667ea8aec3ca3fe2290745d,conv-41,7,88257adc7c0d56af47f238c3e11d2503bc511eee0667ea8aec3ca3fe2290745d,ce932eaae014a9372e694fcfc8e8eecb355d1ba1b8baaf9312a0c4d86907c569,6f59d6bdf8db7d1fd504dd102beb79ed20ea9d09950cbec034ade80612522e40,17,20,88,0,0,0,-0.024739891290664673,-0.01542651653289795,0.3315742611885071,0.22127593264860265,0.9265490174293518,0.7589148283004761,-109.0,-134.64705882352942,151.0,87.65,2,-3,9,-0.12,-0.04411764705882353
bedef5e0b14cabbc3151b44233dcfd190d18b6569ffade4149e36342eeb823d6,conv-41,8,bedef5e0b14cabbc3151b44233dcfd190d18b6569ffade4149e36342eeb823d6,6e9bfe63377211f2d02cf1e01f3766a6f8d24de3cbc31b211c6e032ecb32f9c6,d247a5bc465b08e6973afff7f15d6bc5cfaa5595b7820b31c4366e12fe6ba8cc,18,21,80,0,0,0,-0.027094751596450806,-0.059356123208999634,0.3386632204055786,0.21153758962949118,0.8862798810005188,0.7785371882574899,-102.0,-143.66666666666666,99.0,78.52380952380952,2,-3,6,-0.18,-0.04833333333333333
63118ce9cfcf4482ddf827a274e4a3e26152ca9e5f56e27f73ef82d867355134,conv-41,9,63118ce9cfcf4482ddf827a274e4a3e26152ca9e5f56e27f73ef82d867355134,b39376a2ffbc7d2d8e2bd0d96700e61c965a9020ed4d1d7ac923c13ceec48416,1c133faa5ae2d947ef299662f55fec2727cfdd96f38b8bfd71f8512709fec3ae,13,12,79,0,0,0,-0.028640836477279663,-0.03974750638008118,0.32118916511535645,0.2210652598967919,0.8862798810005188,0.7812017997105917,-92.0,-109.92307692307692,91.0,75.0,3,1,60,-0.06,-0.030000000000000006
a28e66ae590688215584e39d71d13465bc7dc9fe2353991d9654dc26416a3210,conv-41,10,a28e66ae590688215584e39d71d13465bc7dc9fe2353991d9654dc26416a3210,70e6139f5c38b0e0fed565fbed08ddb2349f3e922ae34bf1d7df28ba9f1242b5,b6fb068453b789a6e3423f3053686f083decd88ac5c469641ae9c7f9e7c8dbc1,11,13,91,0,0,0,-0.03385460376739502,-0.024055540561676025,0.34151899814605713,0.23892612890763718,0.8591638803482056,0.7971066603293786,-104.0,-123.18181818181819,103.0,85.23076923076923,1,-2,3,-0.06,-0.046363636363636364
32bfe67ca46e058de7c45ae2996185626c4b896f7fac090e6a114612f3f36b37,conv-41,11,32bfe67ca46e058de7c45ae2996185626c4b896f7fac090e6a114612f3f36b37,bf226a1ec77b0331000d0ba939be22fa25c4722cef4c5ebf819b39faf7aefdd9,5f84ed683bfc4557df05a12245c714e7e358fe933ee8cadcfd0de6a93db1d6f6,10,10,79,0,0,0,-0.02329123020172119,-0.03522086143493652,0.30541837215423584,0.2379193365573883,0.9208327531814575,0.8192265450954437,-90.0,-107.9,85.0,71.8,2,0,19,-0.06,-0.027000000000000003
6a854d223465bb7579f421ca31f8c5657a5139f6de68362bce8358d58acc48dd,conv-41,12,6a854d223465bb7579f421ca31f8c5657a5139f6de68362bce8358d58acc48dd,a7c22d1a534ff623b88210213ef71ba7f18014d610f54d7b3066f413eabc901c,5c3eccc26c01985be0f482a085ffc9fd238b5ca6857d246d5ef8aad72e474a0f,17,17,87,0,0,0,-0.026784181594848633,-0.04895550012588501,0.4215836524963379,0.24684961753733017,0.8251545429229736,0.7702819249209236,-105.0,-138.11764705882354,100.0,78.82352941176471,1,0,32,-0.12,-0.04764705882352942
68da09e1ed40ece89b13c42b50f6d81c2b87849de2b968c3bebdf86b70d8f19a,conv-41,13,68da09e1ed40ece89b13c42b50f6d81c2b87849de2b968c3bebdf86b70d8f19a,817ddc217530b4d422f2991dd26fefbbfa4f6f4ffdc935a4362ae69b78c36e0f,51fe51d975e6f53bc3a2002cabf4a1957d1bf9308104a94be2a2baeb1522ff2a,14,14,81,0,0,0,-0.026310265064239502,-0.038172125816345215,0.315356969833374,0.2193349301815033,0.8534063100814819,0.7679851395743233,-96.0,-113.64285714285714,95.0,77.92857142857143,1,0,-67,-0.06,-0.042857142857142864
ff6abc33d9f60cf793b3365fc85fbd050796f9c77f8938013ce575b20af2c48f,conv-41,14,ff6abc33d9f60cf793b3365fc85fbd050796f9c77f8938013ce575b20af2c48f,47e31ac2b6154a86d914cd803e4d5fc97ba4a2f00a3c1e79d532d1b92a2ceaa3,7a5ca48e738644060a92f58f79e3787a2f93bd02d781cb672b80d63647b072a9,17,18,78,0,0,0,-0.01606816053390503,-0.07383465766906738,0.32893991470336914,0.2392855672275319,0.8847143054008484,0.7851147618558671,-98.0,-144.0,97.0,79.94444444444444,2,-1,75,-0.27,-0.05647058823529411
3040c3e0b7f3c6899ab723785e634b1e81a48300009575863d66b918c8433fb0,conv-41,15,3040c3e0b7f3c6899ab723785e634b1e81a48300009575863d66b918c8433fb0,b73a87f9335dc26744f6770aec08e345a479c316babba291c1917140095dfe43,0595637d46b0f0e49641e1623b464741fee707b43eb1b10e93279dda1da1e70c,10,12,88,0,0,0,-0.02350565791130066,-0.004057407379150391,0.28052419424057007,0.198260498046875,0.878171443939209,0.7915318757295609,-100.0,-124.4,146.0,90.0,2,-2,-59,-0.06,-0.030000000000000006
b43d1a5f8fcff0d6ef73c63a2156cb2a6e2a7f5898ba2126b58d091a4e19a18b,conv-41,16,b43d1a5f8fcff0d6ef73c63a2156cb2a6e2a7f5898ba2126b58d091a4e19a18b,8cd0619f4a99b6a03c82d00ec124ea4a02aee871a87e77c7a9eae1b2400bc684,259ea6145f4978f12d9ee3fd5b86c820d4881b298c6e607fc330a16715d60cc2,15,16,82,0,0,0,-0.026392608880996704,-0.03204512596130371,0.3585307002067566,0.2207115093866984,0.8573427200317383,0.7707213535904884,-98.0,-127.26666666666667,96.0,78.6875,2,-1,-27,-0.21,-0.04400000000000001
b7615ab013c73af29d942c5de39f404508f8470d6d855025119a7b6ad3763ca4,conv-41,17,b7615ab013c73af29d942c5de39f404508f8470d6d855025119a7b6ad3763ca4,94a502d6465e8e7ef2c90f781efd371e1889a1de3705059a90e855d009f8a093,10807c971f4bbd3e913157abcf64184dd19f2ea439acd39910b84afa6a0b42aa,17,20,80,0,0,0,-0.023195356130599976,-0.044070422649383545,0.4563097357749939,0.241415213136112,0.9145027995109558,0.7917540967464447,-101.0,-126.58823529411765,102.0,81.65,3,-3,53,-0.12,-0.037058823529411755
41ffbb648aef60365879e43b94f73effb11bd51fb308b726f9b839880b325c56,conv-41,18,41ffbb648aef60365879e43b94f73effb11bd51fb308b726f9b839880b325c56,deb3ebd5b211cbfdfb8a37196a3b716255cdeff63ff7955eddce74620ad60370,3f9294b570b82495dac766f598dd7700732c8df5a5f22a1e8c8e01de13e4ca91,12,12,83,0,0,0,-0.016462117433547974,-0.03163552284240723,0.35417747497558594,0.18664885063966116,0.8851320743560791,0.7754433254400889,-97.0,-120.25,91.0,80.16666666666667,1,0,-88,-0.06,-0.037500000000000006
01fe40fad8f7f7dc243e6a33b6136fc6a0e3ab41bf095e0a3b1ab39c60a30999,conv-41,19,01fe40fad8f7f7dc243e6a33b6136fc6a0e3ab41bf095e0a3b1ab39c60a30999,23616eca23580bf5daf44e66bd253ebf4d89722938382ac381d266a644886549,8732fa27cd8265f29081b602bf771af3459b0646fe609cf15923986fd5cb41c0,14,17,88,0,0,0,-0.026035428047180176,-0.02984321117401123,0.34458446502685547,0.231647184916905,0.9145027995109558,0.780690403545604,-106.0,-125.57142857142857,104.0,85.11764705882354,2,-3,-132,-0.06,-0.04071428571428572
