arm,turn,expected_domain,episode_id,episode_domain,similarity_score,domain_match
L,250,structural,db0bbee8-9f69-472a-b501-788538a48be2,structural,0.5817657709121704,True
L,250,structural,2a78ca3f-a4c5-4cba-9e2c-b1911bc3eedd,archives,0.5149223804473877,False
L,251,battery,d6ca3adf-502a-4807-9ecc-1c25f81f1447,battery,0.6633214950561523,True
L,251,battery,2a78ca3f-a4c5-4cba-9e2c-b1911bc3eedd,archives,0.5156798958778381,False
L,251,battery,117636c5-10b1-4640-bc8a-ceac44d5f285,battery,0.5026962161064148,True
L,500,structural,52555c3d-8ee7-4e4b-a0e1-17a08eab57b5,probe,0.6546584963798523,False
L,500,structural,db0bbee8-9f69-472a-b501-788538a48be2,structural,0.5817657709121704,True
L,500,structural,f2efe5e8-8edf-4f3f-aa15-5144cd57229d,probe,0.5549266934394836,False
L,500,structural,c9076b64-d299-4ed0-8815-9d124a238b00,monetary,0.5345460176467896,False
L,500,structural,484dd84e-3c76-4e0a-8eb6-299c55985dd2,monetary,0.5197335481643677,False
L,500,structural,2a78ca3f-a4c5-4cba-9e2c-b1911bc3eedd,archives,0.5149223804473877,False
L,501,ecology,ccd86dd4-943f-413c-97a9-859dd66d31fa,ecology,0.6339496970176697,True
L,501,ecology,f2efe5e8-8edf-4f3f-aa15-5144cd57229d,probe,0.5460057854652405,False
L,501,ecology,484dd84e-3c76-4e0a-8eb6-299c55985dd2,monetary,0.5206647515296936,False
L,501,ecology,7b400c35-4549-426b-ba91-45c0222d454d,ecology,0.5036240816116333,True
L,750,structural,52555c3d-8ee7-4e4b-a0e1-17a08eab57b5,probe,0.6546584963798523,False
L,750,structural,75073651-265d-4214-8859-ab7a61ad93e2,probe,0.6546584963798523,False
L,750,structural,db0bbee8-9f69-472a-b501-788538a48be2,structural,0.5817657709121704,True
L,750,structural,2802b537-f9a1-4c20-8e0a-f195b4a0208e,probe,0.5731752514839172,False
L,750,structural,f2efe5e8-8edf-4f3f-aa15-5144cd57229d,probe,0.5549266934394836,False
L,750,structural,e2420998-2f87-4660-bd81-6c9c40a629cf,ecology,0.537092387676239,False
L,750,structural,c9076b64-d299-4ed0-8815-9d124a238b00,monetary,0.5345460176467896,False
L,750,structural,20024f9e-1979-4b02-a80b-b233692bc19e,geophysics,0.5227319598197937,False
L,750,structural,484dd84e-3c76-4e0a-8eb6-299c55985dd2,monetary,0.5197335481643677,False
L,750,structural,2a78ca3f-a4c5-4cba-9e2c-b1911bc3eedd,archives,0.5149223804473877,False
