turn,tokens_per_second,time_to_first_token,output_tokens,estimated_tokens
1,37.08118977393452,0.026967850980416222,51,121
2,40.52587152104404,0.024675595180740924,83,218
3,41.10509041365963,0.024327887128736007,101,325
4,33.221221165197356,0.030101241463321125,41,490
5,32.97051201742486,0.030330132558193265,43,588
6,36.03616228890696,0.027749902777739206,72,668
7,36.885435039726936,0.027110972092994543,86,792
8,35.042695203776205,0.028536617808216987,73,922
9,34.1345342447047,0.02929584428576553,70,1044
10,31.5987531342805,0.03164681833331997,60,1184
11,34.46696379595047,0.02901328953487601,86,1292
12,26.920516191018507,0.037146390243944505,41,1347
13,27.737173637496166,0.036052699999979884,43,1278
14,30.221309550935793,0.03308923454539829,55,1262
15,29.19409013526484,0.034253507999965224,50,1303
16,33.201031708582555,0.0301195459459622,74,1298
17,32.11658724926865,0.031136558571389677,70,1436
18,30.182926645245413,0.03313131333331209,60,1528
19,34.031374869941665,0.029384648837189754,86,1468
20,26.583370377207913,0.037617502438945113,41,1453
21,27.204963906317072,0.03675799767438019,43,1370
22,32.296172511376035,0.030963421428584426,70,1393
23,28.874523620818533,0.034632606000086524,50,1427
24,30.49879118811346,0.03278818474581832,59,1434
25,30.77669293355458,0.03249211999999326,70,1704
26,28.838095816740378,0.03467635333327053,60,1732
27,33.22603513301535,0.030096880232524072,86,1640
28,25.888099133425335,0.03862778780497071,41,1555
29,26.7374990688702,0.0374006558139267,43,1458
30,29.17804389329308,0.034272345454585525,55,1520
31,28.164793332312943,0.035505320000083884,50,1547
32,32.0063472912805,0.031243802702610502,74,1566
33,30.01789023372141,0.03331346714289144,70,1972
34,30.245847930677073,0.03306238933330557,75,1937
35,32.39358049637727,0.030870313953464786,86,1812
36,25.506479361250147,0.03920572439014128,41,1657
37,26.09168521093721,0.03832638604657151,43,1547
38,31.3506491267174,0.03189726617646931,68,1648
39,27.78277867790331,0.03599352000004728,50,1667
40,28.42394888244194,0.03518159999991136,48,1301
41,28.818193468914497,0.034700301428633146,70,2211
42,26.778870132534344,0.03734287499998269,60,2141
43,31.893171227032635,0.03135467441859154,86,1984
44,24.803414788968315,0.04031702926827498,41,1759
45,25.30561086013131,0.039516927906904954,43,1635
46,28.025771888394395,0.035681443636316215,55,1775
47,27.047989950234562,0.03697132400004193,50,1787
48,29.16282380562542,0.03429023220334044,59,1698
49,27.793398329437668,0.035979767142790865,70,2507
50,28.43362568148113,0.03516962666675681,75,2346
51,31.476234290215995,0.03177000116277689,86,2156
52,23.96957570987121,0.04171955365852294,41,1861
53,24.90235525894199,0.0401568441860903,43,1723
54,27.41587438938209,0.03647521818188993,55,1902
55,26.487123523277457,0.03775419400000828,50,1907
56,28.608397825404214,0.03495477118652207,59,1830
57,26.975411295954512,0.03707079714295105,70,2775
58,25.09998579341005,0.039840659999996815,60,2550
