turn,episode_id,episode_turn,topic,similarity,provenance,promoted_at_turn,trigger_type,triggered_filter
32,a1db6ac8-f72a-4aa8-926b-439b7198da17,8,topic_2,0.18282167613506317,ltm,31,weighted_threshold,
32,dfde0dad-c6b3-4d7c-8beb-2876ab07bd2c,4,topic_2,0.15888917446136475,ltm,31,weighted_threshold,
32,ba92086c-db9a-49fd-936e-e659226d4689,14,topic_2,0.15501637756824493,ltm,31,weighted_threshold,
32,517353ea-e1d8-4979-9dfa-1da589ed8d66,1,topic_2,0.13555149734020233,ltm,31,weighted_threshold,
32,dd62d298-c08f-4b2e-9972-d8ce02c89905,2,topic_2,0.12642306089401245,ltm,31,weighted_threshold,
33,517353ea-e1d8-4979-9dfa-1da589ed8d66,1,topic_2,0.17605143785476685,ltm,31,weighted_threshold,
33,a1db6ac8-f72a-4aa8-926b-439b7198da17,8,topic_2,0.15450948476791382,ltm,31,weighted_threshold,
33,dd62d298-c08f-4b2e-9972-d8ce02c89905,2,topic_2,0.11563432961702347,ltm,31,weighted_threshold,
33,ba92086c-db9a-49fd-936e-e659226d4689,14,topic_2,0.10266943275928497,ltm,31,weighted_threshold,
33,dfde0dad-c6b3-4d7c-8beb-2876ab07bd2c,4,topic_2,0.10117587447166443,ltm,31,weighted_threshold,
34,ba92086c-db9a-49fd-936e-e659226d4689,14,topic_2,0.21792834997177124,ltm,31,weighted_threshold,
34,dfde0dad-c6b3-4d7c-8beb-2876ab07bd2c,4,topic_2,0.14306864142417908,ltm,31,weighted_threshold,
34,dd62d298-c08f-4b2e-9972-d8ce02c89905,2,topic_2,0.13699200749397278,ltm,31,weighted_threshold,
34,a1db6ac8-f72a-4aa8-926b-439b7198da17,8,topic_2,0.13632643222808838,ltm,31,weighted_threshold,
34,d66fd3d1-9fce-4e23-ade2-0da92bbdbde1,9,topic_2,0.12768658995628357,ltm,31,weighted_threshold,
35,dd62d298-c08f-4b2e-9972-d8ce02c89905,2,topic_2,0.2363187074661255,ltm,31,weighted_threshold,
35,ba92086c-db9a-49fd-936e-e659226d4689,14,topic_2,0.2083684504032135,ltm,31,weighted_threshold,
35,517353ea-e1d8-4979-9dfa-1da589ed8d66,1,topic_2,0.1977047324180603,ltm,31,weighted_threshold,
