turn,b_ltm,k_min,floor_ranking,fill_cap,render_mode,topics_present,topic_count,floor_selected_per_topic,floor_selected,fill_selected,fill_selected_per_topic,fill_cap_skips,containment_drops,refills,collapsed_to_episode,ltm_chars_used,ltm_records_used,budget_utilization,chars_per_topic,selection
1,32000,1,similarity,,episode,[],0,{},0,0,{},0,0,0,0,0,0,0.0000,{},[]
2,32000,1,similarity,,episode,[],0,{},0,0,{},0,0,0,0,0,0,0.0000,{},[]
3,32000,1,similarity,,episode,[],0,{},0,0,{},0,0,0,0,0,0,0.0000,{},[]
4,32000,1,similarity,,episode,[],0,{},0,0,{},0,0,0,0,0,0,0.0000,{},[]
5,32000,1,similarity,,episode,[],0,{},0,0,{},0,0,0,0,0,0,0.0000,{},[]
6,32000,1,similarity,,episode,[],0,{},0,0,{},0,0,0,0,0,0,0.0000,{},[]
7,32000,1,similarity,,episode,[],0,{},0,0,{},0,0,0,0,0,0,0.0000,{},[]
8,32000,1,similarity,,episode,[],0,{},0,0,{},0,0,0,0,0,0,0.0000,{},[]
9,32000,1,similarity,,episode,[],0,{},0,0,{},0,0,0,0,0,0,0.0000,{},[]
10,32000,1,similarity,,episode,[],0,{},0,0,{},0,0,0,0,0,0,0.0000,{},[]
11,32000,1,similarity,,episode,[],0,{},0,0,{},0,0,0,0,0,0,0.0000,{},[]
12,32000,1,similarity,,episode,[],0,{},0,0,{},0,0,0,0,0,0,0.0000,{},[]
13,32000,1,similarity,,episode,[],0,{},0,0,{},0,0,0,0,0,0,0.0000,{},[]
14,32000,1,similarity,,episode,[],0,{},0,0,{},0,0,0,0,0,0,0.0000,{},[]
15,32000,1,similarity,,episode,[],0,{},0,0,{},0,0,0,0,0,0,0.0000,{},[]
16,32000,1,similarity,,episode,[],0,{},0,0,{},0,0,0,0,0,0,0.0000,{},[]
17,32000,1,similarity,,episode,[],0,{},0,0,{},0,0,0,0,0,0,0.0000,{},[]
18,32000,1,similarity,,episode,[],0,{},0,0,{},0,0,0,0,0,0,0.0000,{},[]
19,32000,1,similarity,,episode,[],0,{},0,0,{},0,0,0,0,0,0,0.0000,{},[]
20,32000,1,similarity,,episode,[],0,{},0,0,{},0,0,0,0,0,0,0.0000,{},[]
21,32000,1,similarity,,episode,[],0,{},0,0,{},0,0,0,0,0,0,0.0000,{},[]
22,32000,1,similarity,,episode,[],0,{},0,0,{},0,0,0,0,0,0,0.0000,{},[]
23,32000,1,similarity,,episode,[],0,{},0,0,{},0,0,0,0,0,0,0.0000,{},[]
24,32000,1,similarity,,episode,[],0,{},0,0,{},0,0,0,0,0,0,0.0000,{},[]
25,32000,1,similarity,,episode,[],0,{},0,0,{},0,0,0,0,0,0,0.0000,{},[]
26,32000,1,similarity,,episode,[],0,{},0,0,{},0,0,0,0,0,0,0.0000,{},[]
27,32000,1,similarity,,episode,[],0,{},0,0,{},0,0,0,0,0,0,0.0000,{},[]
28,32000,1,similarity,,episode,[],0,{},0,0,{},0,0,0,0,0,0,0.0000,{},[]
29,32000,1,similarity,,episode,[],0,{},0,0,{},0,0,0,0,0,0,0.0000,{},[]
30,32000,1,similarity,,episode,[],0,{},0,0,{},0,0,0,0,0,0,0.0000,{},[]
31,32000,1,similarity,,episode,[],0,{},0,0,{},0,0,0,0,0,0,0.0000,{},[]
32,32000,1,similarity,,episode,[],0,{},0,0,{},0,0,0,0,0,0,0.0000,{},[]
33,32000,1,similarity,,episode,[],0,{},0,0,{},0,0,0,0,0,0,0.0000,{},[]
34,32000,1,similarity,,episode,[],0,{},0,0,{},0,0,0,0,0,0,0.0000,{},[]
35,32000,1,similarity,,episode,[],0,{},0,0,{},0,0,0,0,0,0,0.0000,{},[]
36,32000,1,similarity,,episode,[],0,{},0,0,{},0,0,0,0,0,0,0.0000,{},[]
37,32000,1,similarity,,episode,[],0,{},0,0,{},0,0,0,0,0,0,0.0000,{},[]
38,32000,1,similarity,,episode,[],0,{},0,0,{},0,0,0,0,0,0,0.0000,{},[]
39,32000,1,similarity,,episode,[],0,{},0,0,{},0,0,0,0,0,0,0.0000,{},[]
40,32000,1,similarity,,episode,[],0,{},0,0,{},0,0,0,0,0,0,0.0000,{},[]
41,32000,1,similarity,,episode,[],0,{},0,0,{},0,0,0,0,0,0,0.0000,{},[]
42,32000,1,similarity,,episode,[],0,{},0,0,{},0,0,0,0,0,0,0.0000,{},[]
43,32000,1,similarity,,episode,[],0,{},0,0,{},0,0,0,0,0,0,0.0000,{},[]
44,32000,1,similarity,,episode,[],0,{},0,0,{},0,0,0,0,0,0,0.0000,{},[]
45,32000,1,similarity,,episode,[],0,{},0,0,{},0,0,0,0,0,0,0.0000,{},[]
46,32000,1,similarity,,episode,[],0,{},0,0,{},0,0,0,0,0,0,0.0000,{},[]
47,32000,1,similarity,,episode,[],0,{},0,0,{},0,0,0,0,0,0,0.0000,{},[]
48,32000,1,similarity,,episode,[],0,{},0,0,{},0,0,0,0,0,0,0.0000,{},[]
49,32000,1,similarity,,episode,[],0,{},0,0,{},0,0,0,0,0,0,0.0000,{},[]
