turn,tokens_per_second,time_to_first_token,output_tokens,estimated_tokens
1,45.64197002131359,0.021909659016318236,122,182
2,36.02345641626295,0.027759690476246067,42,484
3,40.803636178446354,0.024507619752972616,81,591
4,47.23100718581122,0.021172531766386136,702,746
5,45.09611946342405,0.022174856992098098,379,1562
6,46.61502551346502,0.021452310472535176,783,2096
7,45.45182272939359,0.022001317877914327,688,3169
8,45.54485540470444,0.02195637665580792,921,4091
9,45.03824415878858,0.022203352254904992,1020,5309
10,43.3691886755844,0.023057844302330037,860,6575
11,43.1978611494102,0.023149294279669524,944,7581
12,40.87586470834632,0.024464314263076936,631,7813
13,43.61255067211152,0.022929179435484382,992,7171
14,40.858304233322265,0.02447482877139192,643,7884
15,42.133292246815685,0.023734200359706692,834,8075
16,40.96953552540867,0.02440838020679574,677,8066
17,42.44068179064638,0.023562298196170655,887,7871
18,42.00663999831275,0.02380576023314805,772,8247
19,42.191817655771345,0.023701278009842074,814,8195
20,43.331467672913156,0.02307791666667012,1062,8214
21,42.52036077725331,0.023518144759838443,916,7847
22,40.753503644778704,0.024537767567577445,666,8220
23,42.55748356661907,0.023497629939387976,825,8241
24,42.34408688878778,0.023616048272014772,897,8199
25,42.66764232443271,0.023436964067437383,949,8033
26,42.00378547911021,0.023807378039708612,806,8211
27,42.441890699464814,0.02356162705099775,902,8216
28,42.77116746413003,0.02338023625000763,960,8042
29,42.98308476187714,0.023264965870642376,1005,8227
30,40.25010947659544,0.024844652921539957,599,8005
31,42.007814170380975,0.023805094831739274,832,8253
32,44.42230114416129,0.022511215633669094,1081,8146
33,40.6435633163655,0.0246041419207292,656,8253
34,42.43339981329379,0.023566341711952904,736,8252
35,43.42283030172983,0.023029360201796037,892,8252
36,42.3222255520723,0.023628247025185924,874,8192
37,42.61127248486006,0.023467968490152546,914,8158
38,40.57576717628755,0.024645251823714114,658,8225
39,41.55283341405003,0.024065747575756784,660,7926
40,43.0745567615768,0.02321556099892399,941,8147
41,42.99526280872206,0.023258376264585573,1028,8234
42,43.264870507244055,0.023113440264025866,909,7967
43,43.35596112010895,0.023064879065411596,1070,8113
44,43.293999661675656,0.023097889033459097,1076,8220
45,42.579753598511715,0.02348534022599306,885,8080
46,42.09534485886075,0.02375559585870711,821,8052
47,44.03420035682651,0.022709620974074814,1273,8180
48,40.20191435701832,0.02487443734941004,581,7734
49,43.96353959250545,0.02274612120108891,1099,8193
50,42.2297672089287,0.023679978983842675,866,8235
51,43.23192057622396,0.023131056558934483,1052,8147
52,42.68982176918979,0.02342478742138302,954,8173
53,42.92381303734001,0.023297091503266178,918,7805
54,41.6613697674482,0.024003051401861073,749,8220
55,39.78438006674238,0.025135492832171754,572,8189
56,39.84594446205008,0.02509665697477484,595,8191
57,41.069522340540416,0.02434895618478823,671,7959
58,41.189952284081706,0.02427776543908405,706,8120
59,41.467323745941286,0.024115373495688333,698,7539
60,43.75692933775781,0.022853523205000153,961,8190
61,42.0002337506915,0.023809391298531424,747,7994
62,42.7673958008461,0.02338229815667701,868,8259
63,43.46214666203176,0.023008527576333294,1048,8148
64,43.10829617045001,0.02319739096265843,1018,8049
65,42.93970519292209,0.02328846915709225,1044,8220
66,40.99905212320139,0.024390807792214773,616,8035
67,41.701170258104035,0.02398014237515706,741,8034
68,42.202434540751256,0.023695315468930736,821,8116
69,42.58611352660498,0.023481832860264795,916,8018
70,42.94592266575721,0.02328509758150677,951,7805
71,44.13282208935625,0.02265887275405339,1358,8217
72,42.81650848544889,0.02335547748691017,955,8131
73,42.85825696024553,0.0233327267818563,926,8057
74,42.385261484401916,0.023593106777647397,841,8243
75,43.80400870512388,0.02282896085451255,866,8035
76,42.18757223090579,0.023703663119714186,827,8006
77,42.3713582479704,0.023600848340704306,904,8077
78,44.102461443857436,0.022674471384618814,975,8103
79,42.14771370115915,0.023726079357241577,809,8197
80,42.86540273019318,0.02332883715788883,950,8184
81,43.335660450406536,0.023075683850356986,1096,8112
82,42.48617577364931,0.023537067805952494,907,8160
83,43.731026618818355,0.022867059781525447,1007,7891
84,43.01371117146513,0.023248400864870965,925,7648
85,42.85434032655937,0.023334859255323574,940,7976
86,44.93873443649351,0.02225251806797495,1118,8178
87,40.60049864022594,0.024630239368765423,602,8102
88,42.68081263301014,0.02342973196406718,779,7527
89,41.25140278436193,0.02424159986091653,719,8173
90,39.348016075953616,0.025414241929496432,539,8101
91,42.2545226270645,0.023666105728514103,803,7697
92,42.30008375270399,0.023640615130840634,879,8216
93,41.345222887010316,0.02418659110226193,753,8184
94,41.9891571152531,0.023815672156865877,765,7553
95,41.34770235992582,0.02418514071943208,695,7713
96,42.697808440584474,0.023420405789480642,950,8105
97,43.1558797372222,0.023171813576482236,987,8028
98,44.444659080986604,0.02249989134077528,1074,7774
99,41.91983612289475,0.0238550550882007,737,7541
100,41.49974380202735,0.024096534300800863,758,8123
101,42.3045839610552,0.02363810032786473,915,8250
102,41.88216867628402,0.023876509541070037,828,8220
103,42.76046619716481,0.023386087405808127,929,7750
104,43.287395873995166,0.023101412774076076,1049,7935
105,42.52167471341883,0.023517418040085416,898,8173
106,44.28384276335516,0.022581599463800353,1119,8118
107,43.24946699119599,0.02312167223248239,1084,8192
108,42.274322348236716,0.023655021404304317,883,8243
109,42.519124437965615,0.02351882860285555,909,8219
110,40.32351772687903,0.024799423670654,583,7621
111,40.9859860522591,0.024398583426172838,718,8212
112,19.268210234930763,0.05189895625007921,80,8183
113,18.641778423743236,0.05364295064929764,77,8196
114,21.82562002184616,0.04581771326537615,98,8216
115,25.313283054113153,0.03950495073524293,136,8107
116,37.053787834671866,0.026987794188865162,413,8120
117,38.39836599735548,0.02604277484278552,477,8239
118,34.32399232529357,0.02913414006514311,307,8031
119,40.394074974444095,0.024756105954466458,571,7654
120,40.715849888373,0.024560459937385818,639,8242
121,33.67312564271118,0.029697272852259204,291,8212
